#collection 1. Color modes	Light mode	Dark mode
Component colors/Utility/Neutral/utility-neutral-50	C	@Colors/Neutral/50	@Colors/Neutral/900
Component colors/Utility/Neutral/utility-neutral-100	C	@Colors/Neutral/100	@Colors/Neutral/800
Component colors/Utility/Neutral/utility-neutral-200	C	@Colors/Neutral/200	@Colors/Neutral/700
Component colors/Utility/Neutral/utility-neutral-300	C	@Colors/Neutral/300	@Colors/Neutral/700
Component colors/Utility/Neutral/utility-neutral-400	C	@Colors/Neutral/400	@Colors/Neutral/600
Component colors/Utility/Neutral/utility-neutral-500	C	@Colors/Neutral/500	@Colors/Neutral/500
Component colors/Utility/Neutral/utility-neutral-600	C	@Colors/Neutral/600	@Colors/Neutral/400
Component colors/Utility/Neutral/utility-neutral-700	C	@Colors/Neutral/700	@Colors/Neutral/300
Component colors/Utility/Neutral/utility-neutral-800	C	@Colors/Neutral/800	@Colors/Neutral/200
Component colors/Utility/Neutral/utility-neutral-900	C	@Colors/Neutral/900	@Colors/Neutral/100
Component colors/Utility/Brand/utility-brand-50	C	@Colors/Brand/50	@Colors/Brand/950
Component colors/Utility/Brand/utility-brand-50_alt	C	@Colors/Brand/50	@Component colors/Utility/Neutral/utility-neutral-50
Component colors/Utility/Brand/utility-brand-100	C	@Colors/Brand/100	@Colors/Brand/900
Component colors/Utility/Brand/utility-brand-100_alt	C	@Colors/Brand/100	@Component colors/Utility/Neutral/utility-neutral-100
Component colors/Utility/Brand/utility-brand-200	C	@Colors/Brand/200	@Colors/Brand/800
Component colors/Utility/Brand/utility-brand-200_alt	C	@Colors/Brand/200	@Component colors/Utility/Neutral/utility-neutral-200
Component colors/Utility/Brand/utility-brand-300	C	@Colors/Brand/300	@Colors/Brand/700
Component colors/Utility/Brand/utility-brand-300_alt	C	@Colors/Brand/300	@Component colors/Utility/Neutral/utility-neutral-300
Component colors/Utility/Brand/utility-brand-400	C	@Colors/Brand/400	@Colors/Brand/600
Component colors/Utility/Brand/utility-brand-400_alt	C	@Colors/Brand/400	@Component colors/Utility/Neutral/utility-neutral-400
Component colors/Utility/Brand/utility-brand-500	C	@Colors/Brand/500	@Colors/Brand/500
Component colors/Utility/Brand/utility-brand-500_alt	C	@Colors/Brand/500	@Component colors/Utility/Neutral/utility-neutral-500
Component colors/Utility/Brand/utility-brand-600	C	@Colors/Brand/600	@Colors/Brand/400
Component colors/Utility/Brand/utility-brand-600_alt	C	@Colors/Brand/600	@Component colors/Utility/Neutral/utility-neutral-600
Component colors/Utility/Brand/utility-brand-700	C	@Colors/Brand/700	@Colors/Brand/300
Component colors/Utility/Brand/utility-brand-700_alt	C	@Colors/Brand/700	@Component colors/Utility/Neutral/utility-neutral-700
Component colors/Utility/Brand/utility-brand-800	C	@Colors/Brand/800	@Colors/Brand/200
Component colors/Utility/Brand/utility-brand-800_alt	C	@Colors/Brand/800	@Component colors/Utility/Neutral/utility-neutral-800
Component colors/Utility/Brand/utility-brand-900	C	@Colors/Brand/900	@Colors/Brand/100
Component colors/Utility/Brand/utility-brand-900_alt	C	@Colors/Brand/900	@Component colors/Utility/Neutral/utility-neutral-900
Component colors/Utility/Red/utility-red-50	C	@Colors/Red/50	@Colors/Red/950
Component colors/Utility/Orange/utility-orange-50	C	@Colors/Orange/50	@Colors/Orange/950
Component colors/Utility/Orange/utility-orange-100	C	@Colors/Orange/100	@Colors/Orange/900
Component colors/Utility/Orange/utility-orange-200	C	@Colors/Orange/200	@Colors/Orange/800
Component colors/Utility/Orange/utility-orange-300	C	@Colors/Orange/300	@Colors/Orange/700
Component colors/Utility/Orange/utility-orange-400	C	@Colors/Orange/400	@Colors/Orange/600
Component colors/Utility/Orange/utility-orange-500	C	@Colors/Orange/500	@Colors/Orange/500
Component colors/Utility/Orange/utility-orange-600	C	@Colors/Orange/600	@Colors/Orange/400
Component colors/Utility/Orange/utility-orange-700	C	@Colors/Orange/700	@Colors/Orange/300
Component colors/Utility/Amber/utility-amber-50	C	@Colors/Amber/50	@Colors/Amber/950
Component colors/Utility/Amber/utility-amber-100	C	@Colors/Amber/100	@Colors/Amber/900
Component colors/Utility/Amber/utility-amber-200	C	@Colors/Amber/200	@Colors/Amber/800
Component colors/Utility/Amber/utility-amber-300	C	@Colors/Amber/300	@Colors/Amber/700
Component colors/Utility/Amber/utility-amber-400	C	@Colors/Amber/400	@Colors/Amber/600
Component colors/Utility/Amber/utility-amber-500	C	@Colors/Amber/500	@Colors/Amber/500
Component colors/Utility/Amber/utility-amber-600	C	@Colors/Amber/600	@Colors/Amber/400
Component colors/Utility/Amber/utility-amber-700	C	@Colors/Amber/700	@Colors/Amber/300
Component colors/Utility/Red/utility-red-100	C	@Colors/Red/100	@Colors/Red/900
Component colors/Utility/Red/utility-red-200	C	@Colors/Red/200	@Colors/Red/800
Component colors/Utility/Red/utility-red-300	C	@Colors/Red/300	@Colors/Red/700
Component colors/Utility/Red/utility-red-400	C	@Colors/Red/400	@Colors/Red/600
Component colors/Utility/Red/utility-red-500	C	@Colors/Red/500	@Colors/Red/500
Component colors/Utility/Red/utility-red-600	C	@Colors/Red/600	@Colors/Red/400
Component colors/Utility/Red/utility-red-700	C	@Colors/Red/700	@Colors/Red/300
Component colors/Utility/Yellow/utility-yellow-50	C	@Colors/Yellow/50	@Colors/Yellow/950
Component colors/Utility/Green/utility-green-50	C	@Colors/Green/50	@Colors/Green/950
Component colors/Utility/Green/utility-green-100	C	@Colors/Green/100	@Colors/Green/900
Component colors/Utility/Green/utility-green-200	C	@Colors/Green/200	@Colors/Green/800
Component colors/Utility/Green/utility-green-300	C	@Colors/Green/300	@Colors/Green/700
Component colors/Utility/Green/utility-green-400	C	@Colors/Green/400	@Colors/Green/600
Component colors/Utility/Green/utility-green-500	C	@Colors/Green/500	@Colors/Green/500
Component colors/Utility/Green/utility-green-600	C	@Colors/Green/600	@Colors/Green/400
Component colors/Utility/Green/utility-green-700	C	@Colors/Green/700	@Colors/Green/300
Component colors/Utility/Yellow/utility-yellow-100	C	@Colors/Yellow/100	@Colors/Yellow/900
Component colors/Utility/Yellow/utility-yellow-200	C	@Colors/Yellow/200	@Colors/Yellow/800
Component colors/Utility/Yellow/utility-yellow-300	C	@Colors/Yellow/300	@Colors/Yellow/700
Component colors/Utility/Yellow/utility-yellow-400	C	@Colors/Yellow/400	@Colors/Yellow/600
Component colors/Utility/Yellow/utility-yellow-500	C	@Colors/Yellow/500	@Colors/Yellow/500
Component colors/Utility/Yellow/utility-yellow-600	C	@Colors/Yellow/600	@Colors/Yellow/400
Component colors/Utility/Yellow/utility-yellow-700	C	@Colors/Yellow/700	@Colors/Yellow/300
Component colors/Utility/Emerald/utility-emerald-50	C	@Colors/Emerald/50	@Colors/Emerald/950
Component colors/Utility/Emerald/utility-emerald-100	C	@Colors/Emerald/100	@Colors/Emerald/900
Component colors/Utility/Emerald/utility-emerald-200	C	@Colors/Emerald/200	@Colors/Emerald/800
Component colors/Utility/Emerald/utility-emerald-300	C	@Colors/Emerald/300	@Colors/Emerald/700
Component colors/Utility/Emerald/utility-emerald-400	C	@Colors/Emerald/400	@Colors/Emerald/600
Component colors/Utility/Emerald/utility-emerald-500	C	@Colors/Emerald/500	@Colors/Emerald/500
Component colors/Utility/Emerald/utility-emerald-600	C	@Colors/Emerald/600	@Colors/Emerald/400
Component colors/Utility/Emerald/utility-emerald-700	C	@Colors/Emerald/700	@Colors/Emerald/300
Component colors/Utility/Sky/utility-sky-50	C	@Colors/Sky/50	@Colors/Sky/950
Component colors/Utility/Sky/utility-sky-100	C	@Colors/Sky/100	@Colors/Sky/900
Component colors/Utility/Sky/utility-sky-200	C	@Colors/Sky/200	@Colors/Sky/800
Component colors/Utility/Sky/utility-sky-300	C	@Colors/Sky/300	@Colors/Sky/700
Component colors/Utility/Sky/utility-sky-400	C	@Colors/Sky/400	@Colors/Sky/600
Component colors/Utility/Sky/utility-sky-500	C	@Colors/Sky/500	@Colors/Sky/500
Component colors/Utility/Sky/utility-sky-600	C	@Colors/Sky/600	@Colors/Sky/400
Component colors/Utility/Sky/utility-sky-700	C	@Colors/Sky/700	@Colors/Sky/300
Component colors/Utility/Blue/utility-blue-50	C	@Colors/Blue/50	@Colors/Blue/950
Component colors/Utility/Blue/utility-blue-100	C	@Colors/Blue/100	@Colors/Blue/900
Component colors/Utility/Blue/utility-blue-200	C	@Colors/Blue/200	@Colors/Blue/800
Component colors/Utility/Blue/utility-blue-300	C	@Colors/Blue/300	@Colors/Blue/700
Component colors/Utility/Blue/utility-blue-400	C	@Colors/Blue/400	@Colors/Blue/600
Component colors/Utility/Blue/utility-blue-500	C	@Colors/Blue/500	@Colors/Blue/500
Component colors/Utility/Blue/utility-blue-600	C	@Colors/Blue/600	@Colors/Blue/400
Component colors/Utility/Blue/utility-blue-700	C	@Colors/Blue/700	@Colors/Blue/300
Component colors/Utility/Indigo/utility-indigo-50	C	@Colors/Indigo/50	@Colors/Indigo/950
Component colors/Utility/Indigo/utility-indigo-100	C	@Colors/Indigo/100	@Colors/Indigo/900
Component colors/Utility/Indigo/utility-indigo-200	C	@Colors/Indigo/200	@Colors/Indigo/800
Component colors/Utility/Indigo/utility-indigo-300	C	@Colors/Indigo/300	@Colors/Indigo/700
Component colors/Utility/Indigo/utility-indigo-400	C	@Colors/Indigo/400	@Colors/Indigo/600
Component colors/Utility/Indigo/utility-indigo-500	C	@Colors/Indigo/500	@Colors/Indigo/500
Component colors/Utility/Indigo/utility-indigo-600	C	@Colors/Indigo/600	@Colors/Indigo/400
Component colors/Utility/Indigo/utility-indigo-700	C	@Colors/Indigo/700	@Colors/Indigo/300
Component colors/Utility/Purple/utility-purple-50	C	@Colors/Purple/50	@Colors/Purple/950
